ensembl_gene_id,mgi_id,mgi_symbol,transcript_length,chromosome_name,start_position,end_position,external_gene_name,name,symbol,min_expression_in_il4_or_lps,stdev_il,avera_il,aver_lps,ave_pbs,IL4-PBS_logFC,IL4-PBS_AveExpr,IL4-PBS_t,IL4-PBS_P.Value,IL4-PBS_adj.P.Val,IL4-PBS_B,IL4-LPS_logFC,IL4-LPS_AveExpr,IL4-LPS_t,IL4-LPS_P.Value,IL4-LPS_adj.P.Val,IL4-LPS_B,LPS-PBS_logFC,LPS-PBS_AveExpr,LPS-PBS_t,LPS-PBS_P.Value,LPS-PBS_adj.P.Val,LPS-PBS_B,IL4_1001_CRC38m,IL4_1003_CRC38m,IL4_830_CRC38m,IL4_901_CRC38m,IL4_903_CRC38m,IL4_904_CRC38m,IL4_910_CRC38m,IL4_930_CRC38m,LPS_1101_CRC38m,LPS_1103_CRC38m,LPS_1110_CRC38m,LPS_1130_CRC38m,LPS_703_CRC38m,PBS_1004_CRC38m,PBS_1010_CRC38m,PBS_604RS_CRC38m,PBS_630_CRC38m
ENSMUSG00000024529,MGI:96817,Lox,4468,18,52516069,52529867,Lox,lysyl oxidase,Lox,1,0.414396585,-0.518204059,2.437810161,0.271981382,-0.763363284,0.537137874,-2.221848014,0.03891992,0.999880263,-4.351123847,-2.950216988,0.537137874,-10.88018513,1.69E-09,4.09E-05,11.96582675,2.186853704,0.537137874,7.24257986,8.09E-07,0.019588257,5.982915754,-0.959975658,-0.094800074,-0.644593237,-0.640895575,0.093592248,-0.249389912,-1.109452937,-0.540117329,2.373041618,2.793111986,2.349763218,2.617102019,2.056031964,-0.230416387,1.766846442,-0.383192999,-0.065311527
ENSMUSG00000067149,MGI:96493,Jchain,1393,5,88519809,88527891,Jchain,immunoglobulin joining chain,Jchain,1,0.70303593,0.608822402,5.03604017,2.112959062,-1.466277531,2.264859783,-2.466551692,0.023555528,0.999880263,-4.101856887,-4.436715307,2.264859783,-9.184912272,2.46E-08,0.000297415,9.422603006,2.970437776,2.264859783,6.030891908,9.22E-06,0.055838963,3.63959229,-0.165724324,1.820953797,1.012519049,0.366677645,0.906506695,0.150413074,1.011777808,-0.232544527,4.887489406,4.180509095,4.300588033,5.926730031,5.884884282,0.774229978,3.850392384,1.961635498,1.865578388
ENSMUSG00000026395,MGI:97810,Ptprc,4702,1,138062861,138175708,Ptprc,"protein tyrosine phosphatase, receptor type, C",Ptprc,1,0.294465084,2.03180441,3.83429907,2.380129084,-0.320353257,2.643908645,-1.227071684,0.235107207,0.999880263,-4.550264807,-1.789644034,2.643908645,-8.339482462,1.06E-07,0.000573951,7.905987251,1.469290777,2.643908645,5.847348523,1.36E-05,0.063708563,3.259842209,2.055915714,2.041049299,2.093164829,2.001137111,2.666809541,1.771671704,1.943432643,1.681254437,3.571838034,4.313537313,4.056114821,3.686203124,3.54380206,2.030677608,3.489575276,2.184352448,1.815911003
ENSMUSG00000021322,MGI:1350928,Aoah,2921,13,20794113,21036617,Aoah,acyloxyacyl hydrolase,Aoah,1,0.597750967,-1.751554298,1.784275091,-1.000984678,-0.652511534,-0.534999862,-1.173464499,0.255423533,0.999880263,-4.580609787,-3.508656283,-0.534999862,-8.283918268,1.17E-07,0.000573951,7.834226834,2.856144749,-0.534999862,6.117807489,7.69E-06,0.055838963,3.781717827,-1.482396693,-2.345761648,-1.866985659,-1.853199179,-0.643373347,-2.620645719,-1.493596428,-1.706475716,1.767029794,1.979739188,1.757078869,1.319620284,2.097907319,-2.014687696,1.65881882,-1.51608727,-2.131982567
ENSMUSG00000022014,MGI:1915168,Epsti1,1870,14,77904239,78002657,Epsti1,epithelial stromal interaction 1 (breast),Epsti1,1,0.478207333,0.073148442,1.749608287,0.877472879,-0.801093764,0.755477676,-3.432810498,0.002859014,0.999880263,-3.936352127,-1.676240196,0.755477676,-8.276421884,1.18E-07,0.000573951,7.905733655,0.875146433,0.755477676,3.937044998,0.000916322,0.140504583,-0.668419034,0.484436443,0.477987713,-0.054355795,0.577151376,0.438727734,-0.37602335,-0.634772491,-0.327964093,1.57692691,2.238214002,1.746718358,1.468100311,1.718081851,0.907087137,1.339225813,0.656647265,0.606931299
ENSMUSG00000039899,MGI:103266,Fgl2,3788,5,21372642,21378374,Fgl2,fibrinogen-like protein 2,Fgl2,1,0.411178598,0.993344051,2.422525238,1.587462119,-0.589788888,1.553483946,-2.852427474,0.010340379,0.999880263,-3.966082565,-1.428090197,1.553483946,-7.971937617,2.06E-07,0.000660077,7.336179656,0.838301309,1.553483946,4.153597633,0.000561614,0.120718638,-0.277067593,0.600429738,1.62140696,0.971733434,1.15119259,1.536625377,0.535272424,0.768418765,0.76167312,1.966338602,2.628652079,2.489909183,2.48737157,2.540354758,1.190426734,1.542042696,1.648202197,1.969176849
ENSMUSG00000049037,MGI:3036291,Clec4a1,1558,6,122921848,122934619,Clec4a1,"C-type lectin domain family 4, member a1",Clec4a1,1,0.508217849,-1.497512827,1.240869917,-0.550724744,-0.918736351,-0.469332471,-2.16029584,0.044028867,0.999880263,-4.433033079,-2.749069326,-0.469332471,-7.930705044,2.22E-07,0.000660077,7.247959001,1.830332974,-0.469332471,4.956185032,9.32E-05,0.094103656,1.538573632,-2.13447339,-1.208258124,-1.130020065,-2.455863681,-1.371700022,-1.166927752,-1.147420787,-1.365438798,1.01642965,1.293199862,0.81524974,1.127533633,1.951936699,-0.792295275,1.130379924,-1.466334235,-1.074649392
ENSMUSG00000085949,MGI:3649537,Gm14275,430,2,172288133,172290520,Gm14275,NA,NA,0,0.140246291,-7.22163481,-3.456499628,-6.371528244,-0.812737868,-5.914217035,-1.224444074,0.236073353,0.999880263,-4.592707957,-3.770603046,-5.914217035,-7.872315483,2.47E-07,0.000660077,4.191426733,2.957865178,-5.914217035,5.009091569,8.29E-05,0.094103656,-0.636846409,-7.263756407,-6.989617837,-7.152387878,-7.210751183,-7.437789213,-7.144207675,-7.376239478,-7.198328812,-3.29271229,-4.395300243,-3.669185885,-2.684294766,-3.241004955,-7.506540792,-4.874121469,-7.348977284,-5.756473432
ENSMUSG00000044350,MGI:2445077,Lacc1,2444,14,77024200,77036904,Lacc1,laccase (multicopper oxidoreductase) domain containing 1,Lacc1,1,0.116341126,1.9275552,2.676609612,2.163282721,-0.227120154,2.20333062,-2.071409553,0.052490283,0.999880263,-4.201150041,-0.749312479,2.20333062,-7.708736855,3.34E-07,0.000660077,6.804442891,0.522192325,2.20333062,4.63369976,0.000190806,0.096305135,0.718454019,1.967464774,2.029972891,1.878279259,1.97164317,2.056066236,1.801236161,1.992266984,1.723512125,2.629653486,2.741324749,2.62047836,2.561981122,2.829610341,2.034555823,2.513034249,2.001961898,2.103578913
ENSMUSG00000019832,MGI:1915094,Rab32,2149,10,10545002,10558265,Rab32,"RAB32, member RAS oncogene family",Rab32,1,0.199261763,1.123134046,2.390124164,1.523186814,-0.392786816,1.589908261,-2.036118956,0.056239596,0.999880263,-4.282003119,-1.270966067,1.589908261,-7.666441403,3.62E-07,0.000660077,6.770857073,0.878179251,1.589908261,4.605271993,0.000203328,0.09738153,0.70979988,1.18332682,1.234383837,1.451238467,1.177266102,0.842981557,0.861416874,1.070843749,1.163614962,1.992689929,2.787448799,2.640203014,2.075231631,2.455047446,1.245003267,2.073077116,1.596466552,1.17820032
